author	aid	normdate	birth	death	raw	hasbirth	hasdeath	hasdates	estimate	place-birth	place-death	country-birth	continent-birth	first-name	preposition-name	second-name	gender	viafid	vf_bi	vf_de	vf_bi_esti	vf_de_esti	birth_diff	death_diff	vf_cand_n	auname_viaf	redo	match_type	vf_validation
Ibergas, Justo	451n	19.5	XIX	XX	España. Siglos XIX - XX	0	0	0	0	España		España	Europa	Justo		Ibergas	M												medium
Jalón, Heliodoro María	262n	19.5	XIX	XX	España. Siglos XIX - XX Poeta.	0	0	0	0	España		España	Europa	Heliodoro María		Jalón	M												medium
Jiménez Lamar, Gabriel	462n	19.5	XIX	XX	Cuba. Siglos XIX -XX Poeta.	0	0	0	0	Cuba		Cuba	América	Gabriel		Jiménez Lamar	M												medium
Jiménez Spoya, Francisco de Asís	536n	19.5	XIX	XX	España. Siglo XIX - XX Poeta.	0	0	0	0	España		España	Europa	Francisco de Asís		Jiménez Spoya	M												medium
Jordán, Juan Manuel	564n	19.5	XIX	XX	Argentina. Siglos XIX - XX Poeta.	0	0	0	0	Argentina		Argentina	América	Juan Manuel		Jordán	M												medium
León Gómez, Ernesto	074n	19.5	XIX	XX	Colombia. Siglo XIX - XX Poeta hallado en Internet.	0	0	0	0	Colombia		Colombia	América	Ernesto		León Gómez	M												medium
León, César Luis de	496n	19.5	XIX	XX	Cuba. Siglos XIX - XX Poeta.	0	0	0	0	Cuba		Cuba	América	César Luis	de	León	M												medium
Leturia, Rafael S. J.	526n	19.5	XIX	XX	España. Siglos XIX - XX Poeta.	0	0	0	0	España		España	Europa	Rafael S. J.		Leturia	M												medium
Leza, Walterio F.	132n	19.5	XIX	XX	Cuba. Siglos XIX - XX Poeta.	0	0	0	0	Cuba		Cuba	América	Walterio F.		Leza	M												medium
Lles, Francisco	090n	19.5	1887	1921	Matanzas (Cuba). 1887 - 1921 Poeta. Murió víctima de un atentado político. Con su hermano Fernando, vivió de niños en Asturias.	1	1	1	0	Matanzas (Cuba)		Cuba	América	Francisco		Lles	M										1		medium
Losada, Joaquín G.	216n	19.5	XIX	XX	España. Siglos XIX - XX Poeta.	0	0	0	0	España		España	Europa	Joaquín G.		Losada	M												medium
Luján, Agustín	164n	19.5	XIX	XX	Costa Rica. Siglos XIX - XX Viajó por Europa y América del Sur. Poeta.	0	0	0	0	Costa Rica		Costa Rica	América	Agustín		Luján	M												medium
Mariño de Riverón, Adelina («Yolanda»)	563n	19.5	XIX	XX	Cuba. Siglos XIX - XX Poeta.	0	0	0	0	Cuba		Cuba	América	Adelina («Yolanda»)		Mariño de Riverón	F												medium
Marqués de Almendar	395n	19.5	XIX	XX	España. Siglos XIX - XX	0	0	0	0	España		España	Europa	Marqués de Almendar			M												medium
Marqués de Dosfuentes	037n	19.5	XIX	XX	Sevilla. Siglos XIX - XX Estudió Derecho en la Universidad de Sevilla.	0	0	0	0	Sevilla		España	Europa	Marqués de Dosfuentes			M	86948892								Marqués de Dosfuentes	1		high
Martín Fernández Neda, Rafael M.	202n	19.5	1833	1908	La Orotava (Santa Cruz de Tenerife). 1833 - 1908 Estudió Jurisprudencia.	1	1	1	0	Tenerife		España	Europa	Rafael M.		Martín Fernández Neda	M												medium
Martínez Nacarino, Juan	102n	19.5	XIX	XX	España. Siglo XIX - XX De su libro Recuerde el Alma Dormida publicado en Madrid en 1915.	0	0	0	0	España		España	Europa	Juan		Martínez Nacarino	M	63583321								Juan Martínez Nacarino			high
Méndez Roque, Vicente	370n	19.5	XIX	XX	Cuba. Siglos XIX - XX Poeta.	0	0	0	0	Cuba		Cuba	América	Vicente		Méndez Roque	M												medium
Méndez, Evaristo	071n	19.5	XIX	XX	Argentina. Siglos XIX - XX Poeta.	0	0	0	0	Argentina		Argentina	América	Evaristo		Méndez	M												medium
Menéndez Barriola, Emilio	406n	19.5	XIX	XX	Argentina. Siglos XIX - XX Poeta.	0	0	0	0	Argentina		Argentina	América	Emilio		Menéndez Barriola	M	79145856858722920225								Emilio Menéndez Barriola			high
Miguel y Romón, Antonio	300n	19.5	XIX	XX	Valladolid. Siglo XIX - XX Poeta y médico.	0	0	0	0	Valladolid		España	Europa	Antonio		Miguel y Romón	M												medium
Moreno de la Rosa, Modesto	358n	19.5	XIX	XX	Andalucía (España). Siglos XIX - XX Poeta.	0	0	0	0	Andalucía (España)		España	Europa	Modesto		Moreno de la Rosa	M												medium
Mosquera, Rubén J.	459n	19.5	XIX	XX	Colombia. Siglo XIX - XX	0	0	0	0	Colombia		Colombia	América	Rubén J.		Mosquera	M												medium
Muñoz, Leonor	610n	19.5	XIX	XX	España. Siglos XIX - XX Poeta.	0	0	0	0	España		España	Europa	Leonor		Muñoz	F												medium
Muntadas Joumet, Juan Federico	672n	19.5	1826	1912	España. 1826 - 1912 Poeta hallado en Internet.	1	1	1	0	España		España	Europa	Juan Federico		Muntadas Joumet	M												medium
Navarro Montes de Oca, José	155n	19.5	XIX	XX	Cuba. Siglos XIX - XX Poeta.	0	0	0	0	Cuba		Cuba	América	José		Navarro Montes de Oca	M												medium
Olmedo, Antonio José	570n	19.5	XIX	XX	Cuba. Siglos XIX - XX Poeta.	0	0	0	0	Cuba		Cuba	América	Antonio José		Olmedo	M												medium
Oña, Inocencio de	623n	19.5	XIX	XX	España. Siglos XIX - XX Poeta.	0	0	0	0	España		España	Europa	Inocencio	de	Oña	M												medium
Osete, Antonio	518n	19.5	XIX	XX	Murcia. Siglo XIX - XX Poeta.	0	0	0	0	Murcia		España	Europa	Antonio		Osete	M												medium
Ossa, Jerónimo	625n	19.5	1847	1907	Panamá. 1847 - 1907 Poeta creador del Himno Nacional de Panamá. Hallado en Internet.	1	1	1	0	Panamá		Panamá	América	Jerónimo		Ossa	M												medium
Palacios, Pedro B. «Almafuerte»	560n	19.5	1854	1917	San Justo (Argentina). 1854 - La Plata (Argentina). 1917 Ejerció la pedagogía sin título de maestro por los pueblos del interior de su país.	1	1	1	0	San Justo (Argentina)	La Plata (Argentina)	Argentina	América	Pedro B. «Almafuerte»		Palacios	M												medium
Pérez Camarero, Arturo	199n	19.5	XIX	XX	España. Siglo XIX - XX Poeta.	0	0	0	0	España		España	Europa	Arturo		Pérez Camarero	M	87157857								Arturo Pérez Camarero			high
Pérez de la Morena, Padre Jerónimo	011n	19.5	XIX	XX	España. Siglo XIX - XX Poeta y religioso de la Orden de los Agonizantes.	0	0	0	0	España		España	Europa	Padre Jerónimo		Pérez de la Morena	M												medium
Pérez de Zabala, J.	025n	19.5	XIX	XX	España. Siglo XIX - XX Poeta.	0	0	0	0	España		España	Europa	J.		Pérez de Zabala	M												medium
Pérez Pardo, Enrique	084n	19.5	XIX	XX	España. Siglos XIX - XX Poeta.	0	0	0	0	España		España	Europa	Enrique		Pérez Pardo	M												medium
Pérez, J. Ambrosio	520n	19.5	XIX	XX	España. Siglos XIX - XX Poeta.	0	0	0	0	España		España	Europa	J. Ambrosio		Pérez	M												medium
Pezuela, Juan de la	523n	19.5	1809	1906	Lima. 1809 - Madrid. 1906 Conde de Cheste. General, político y escritor español.	1	1	1	0	Lima	Madrid	Perú	América	Juan	de la	Pezuela	M												medium
Piedra, Francisco Sisto	054n	19.5	1861	1918	Matanzas (Cuba). 1861 - Cárdenas (Cuba). 1918 Poeta.	1	1	1	0	Matanzas (Cuba)	Cárdenas (Cuba)	Cuba	América	Francisco Sisto		Piedra	M												medium
Pierra de Poo, Martina	055n	19.5	1833	1900	Camagüey (Cuba). 1833 - La Habana. 1900 Poeta hallada en Internet.	1	1	1	0	Camagüey (Cuba)	La Habana	Cuba	América	Martina		Pierra de Poo	F												medium
Pinzón, Nicolás W.	491n	19.5	XIX	XX	Colombia. Siglo XIX - XX Poeta hallado en Internet.	0	0	0	0	Colombia		Colombia	América	Nicolás W.		Pinzón	M												medium
