poem_id	author_id	author	incipit	title
008t_0164	008t	Jocson, Remigio S.	Con la mano temblando de alegría,	COPA DE GRATITUD
008t_0165	008t	Jocson, Remigio S.	¡Oh santa Pascua, seductora y bella!	ORACION DE PASCUA
008t_0166	008t	Jocson, Remigio S.	¡Oh, nobles dirigentes de este fanal glorioso,	SALUTACIÓN
009g_0017	009g	Lucinda, Camila	Mientras a un dulce epitalamio tiemplo	Al peregrino
009g_0018	009g	Lucinda, Camila	Cuando como otra Eurídice, teñido	A Lope de Vega
009e_0023	009e	Aguirre, Juan Bautista	No tienes ya del tiempo malogrado	Soneto moral
009e_0024_01	009e	Aguirre, Juan Bautista	En catre de esmeraldas nace altiva	A una rosa – I
009e_0024_02	009e	Aguirre, Juan Bautista	De púrpura vestida ha madrugado	A una rosa – II
009n_0026	009n	Icaza, Francisco de	¡Qué escriba! ¿Y para qué? Si no consiste	¿Para qué?
009n_0027	009n	Icaza, Francisco de	Azul cobalto el cielo, gris la llanura,	Paisaje de sol
009n_0028	009n	Icaza, Francisco de	De toda tu belleza en mí sólo perdura,	Aldea andaluza
009n_0029	009n	Icaza, Francisco de	Ser feliz, ¡ser feliz! Nadie lo ha sido;	¡Ser feliz!
009t_0167_01	009t	Marfori, Isidro	Una princesa de faz doliente,	FRAGANCIAS – I ILANG-ILANG
009t_0167_02	009t	Marfori, Isidro	Se cree fuerte y así, indiscreta,	FRAGANCIAS – II CADENAS ROSAS DE AMOR
009t_0167_03	009t	Marfori, Isidro	un momento de incierta espera,	FRAGANCIAS – III VIOLETAS
009t_0168_01	009t	Marfori, Isidro	soñé que había muerto. Mi lira muda y quieta,	SOÑÉ – I
009t_0168_02	009t	Marfori, Isidro	Anunciaban mi triunfo las trompas de la Fama	SOÑÉ – II
009t_0169	009t	Marfori, Isidro	Al fin se abrió mi cielo. Y vi realizado	LA LÍNEA
009t_0170	009t	Marfori, Isidro	Es fuerza que me aleje,	DESPEDIDA
009t_0171	009t	Marfori, Isidro	Amada mía, aquí estoy, alejado	CARTA BREVE
009t_0172_01	009t	Marfori, Isidro	Cuán fuerte es el hechizo	WINEZCA – I
009t_0172_02	009t	Marfori, Isidro	¡Aquí tú! i Y éso, éso	WINEZCA – II
009t_0172_03	009t	Marfori, Isidro	—¡No sufras más! ¡no llores!	WINEZCA – III
009t_0172_04	009t	Marfori, Isidro	En busca de la calma	WINEZCA – IV
009t_0173	009t	Marfori, Isidro	Despiertan en mi alma nostalgias de Francia.	FLOR DE LIS
009t_0174	009t	Marfori, Isidro	La noche es de oro y plata. En el silencio augusto	HELADA
009t_0175	009t	Marfori, Isidro	Un joven decadente. En su mirada obscura	ALMAS ENFERMAS
009t_0176	009t	Marfori, Isidro	Desciende al sembrado que va á sazonar	LAS LANGOSTAS
009t_0177_01	009t	Marfori, Isidro	Como una pesadilla horripilante,	TRILOGÍA TRÁGICA – I EL BALETE
009t_0177_02	009t	Marfori, Isidro	Desnudas de verdura, sus entecas	TRILOGÍA TRÁGICA – II EL ÁRBOL DEL ALGODÓN
009t_0177_03	009t	Marfori, Isidro	Contrasta con el tono azul del cielo	TRILOGÍA TRÁGICA – III EL ÁRBOL DE FUEGO
009t_0178	009t	Marfori, Isidro	Armónica amalgama de colores,	EL MUNDO
009t_0179	009t	Marfori, Isidro	El rastro de sus actos sólo en la noche imprimen.	LOS TRAIDORES
009t_0180	009t	Marfori, Isidro	Todo lo abarcó su altiva mirada,	EL COLONIAJE
009t_0181	009t	Marfori, Isidro	Levantóse el Caudillo y miró hacia el sendero:	ALIGAN
010g_0019	010g	Vargas Manrique, Luis de	Este es aquel, que aunó Cortés, se puso	Al retrato de Cortés, publicado en La Mexicana de Gabriel de Lasso de la Vega en 1594
