author	aid	normdate	birth	death	raw	hasbirth	hasdeath	hasdates	estimate	place-birth	place-death	country-birth	continent-birth	first-name	preposition-name	second-name	gender	viafid	vf_bi	vf_de	vf_bi_esti	vf_de_esti	birth_diff	death_diff	vf_cand_n	auname_viaf	redo	match_type	vf_validation
Ximénez de Cabredo, Diego	013g	16.5	XVI	XVII	España. Siglos XVI - XVII Poeta. Amigo de Lope de Vega.	0	0	0	0	España		España	Europa	Diego		Ximénez de Cabredo	M												medium
Zayas y Sotomayor, María de	253g	16.5	1590	1661	Madrid. 1590 - 1661 Hizo novela, teatro y poesía.	1	1	1	0	Madrid		España	Europa	María	de	Zayas y Sotomayor	F	17232104	1590	1650	False	False	0	11	1	Maria Zayas y Sotomayor, 1590 1650		exact	high
Andrés, Juan Francisco	021g	17	XVII	XVII	Aragón. Zaragoza. Siglo XVII Cronista de Su Majestad en el Reino de Aragón.	0	0	0	0	Aragón		España	Europa	Juan Francisco		Andrés	M	59109710	1606	1653	False	False	6	53	10	Juan Francisco Andres Uztarroz	1	contained	high
Anguita y Monguia, Pedro	464g	17	XVII	XVII	España. Siglo XVII Poeta y doctor.	0	0	0	0	España		España	Europa	Pedro		Anguita y Monguia	M												medium
Angulo y Pulgar, Martín	155g	17	XVII	XVII	España. Siglo XVII Poeta.	0	0	0	0	España		España	Europa	Martín		Angulo y Pulgar	M												medium
Angulo y Velázquez, Isidro	207g	17	XVII	XVII	España. Siglo XVII Poeta.	0	0	0	0	España		España	Europa	Isidro		Angulo y Velázquez	M												medium
Aragonés, Joseph	001g	17	XVII	XVII	Valencia. Siglo XVII Poeta. Notario. Casó con doña Jerónima Ribera en 1647	0	0	0	0	Valencia		España	Europa	Joseph		Aragonés	M										1		medium
Aragón y Mendoza, Jacinto	262g	17	XVII	XVII	España. Siglo XVII Poeta. Secretario del eminentísimo cardenal Gil de Albornoz, y que lo ha sido de guerra del estado de Milán.	0	0	0	0	España		España	Europa	Jacinto		Aragón y Mendoza	M												medium
Aranguren, Francisco de	030g	17	XVII	XVII	España. Siglo XVII Poeta.	0	0	0	0	España		España	Europa	Francisco	de	Aranguren	M	69275572	1754	1808	False	False	154	208	3	Francisco Aranguren y Sobrado	1	contained	low
Arce, Pedro de	360g	17	XVII	XVII	España. Siglo XVII Poeta. Caballero del Hábito de Santiago, y Aposentador de Casa y Corte de Su Majestad.	0	0	0	0	España		España	Europa	Pedro	de	Arce	M	99353197	fl. 1683	fl. 1683	False	False	83	83	3	Pedro Arce, fl. 1683		exact	high
Arellano, Marcos de	124g	17	XVII	XVII	España. Siglo XVII Poeta.	0	0	0	0	España		España	Europa	Marcos	de	Arellano	M												medium
Astete de Monroy, Juan	257g	17	XVII	XVII	Valladolid. Siglo XVII. Capitán de Infantería, Poeta y amigo de Lope de Vega.	0	0	0	0	Valladolid		España	Europa	Juan		Astete de Monroy	M												medium
Ataide y Sotomayor, Francisco	031g	17	XVII	XVII	España. Siglo XVII Poeta. Caballero del Hábito de Santiago.	0	0	0	0	España		España	Europa	Francisco		Ataide y Sotomayor	M												medium
Avellaneda, Francisco de	279g	17	XVII	XVII	España Siglo XVII	0	0	0	0	España		España	Europa	Francisco	de	Avellaneda	M	220297099	1622	1675	True	True	22	75	10	Francisco Avellaneda, 1622? 1675?		exact	high
Ayala, Gonzalo de	482g	17	XVII	XVII	España. Siglo XVII Poeta y amigo de Lope de Vega	0	0	0	0	España		España	Europa	Gonzalo	de	Ayala	M												medium
Baca, Jacinta	015g	17	XVII	XVII	España. Siglo XVII Poeta y amiga de Lope de Vega.	0	0	0	0	España		España	Europa	Jacinta		Baca	F												medium
Barbosa Bacelar, Antonio	285g	17	XVII	XVII	España. Siglo XVII Poeta y amigo de Lope de Vega.	0	0	0	0	España		España	Europa	Antonio		Barbosa Bacelar	M	12372745	1610	1663	False	False	10	63	5	Antonio Barbosa Bacelar, 1610 1663		exact	high
